time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-3-13 23:54:9.225	WTyyyy(CC4B99849B02)	0.088	-0.105	-0.969	-10.681	13.367	-489.075	179.66	-1.60	32.17	-13.633	-11.758	22.092	-0.00040	-0.92014	-0.39105	-0.01883	22.9	10080.1.3	100
2025-3-13 23:54:9.283	WTyyyy(CC4B99849B02)	0.074	-0.075	-0.941	6.287	11.536	-312.561	178.50	-2.69	71.88	-13.633	-11.758	22.092	-0.00040	-0.92014	-0.39105	-0.01883	22.9	10080.1.3	100
2025-3-13 23:54:9.464	WTyyyy(CC4B99849B02)	0.077	-0.062	-0.918	-13.489	8.118	-91.309	177.36	-3.18	90.74	25.367	-8.250	21.792	-0.00040	-0.92014	-0.39105	-0.01883	22.9	10080.1.3	100
2025-3-13 23:54:9.502	WTyyyy(CC4B99849B02)	0.104	-0.059	-0.913	2.747	-1.282	137.451	177.76	-3.76	86.05	25.367	-8.250	21.792	-0.00040	-0.92014	-0.39105	-0.01883	22.9	10080.1.3	100
2025-3-13 23:54:9.615	WTyyyy(CC4B99849B02)	0.157	-0.076	-0.913	7.385	1.282	355.774	-179.46	-4.28	59.40	25.367	-8.250	21.792	0.02505	-0.89145	-0.45145	-0.02829	22.9	10080.1.3	100
2025-3-13 23:54:9.705	WTyyyy(CC4B99849B02)	0.197	-0.102	-0.923	-0.610	-8.362	520.874	-176.40	-1.86	14.75	25.367	-8.250	21.792	0.02505	-0.89145	-0.45145	-0.02829	22.9	10080.1.3	100
2025-3-13 23:54:9.825	WTyyyy(CC4B99849B02)	0.216	-0.120	-0.944	0.610	-21.973	626.587	-176.37	3.20	-41.66	-4.758	-25.567	22.117	0.02505	-0.89145	-0.45145	-0.02829	22.9	10080.1.3	100
2025-3-13 23:54:9.914	WTyyyy(CC4B99849B02)	0.205	-0.116	-0.976	11.108	-14.832	645.569	179.21	5.91	-102.77	-4.758	-25.567	22.117	0.02505	-0.89145	-0.45145	-0.02829	22.9	10080.1.3	100
2025-3-13 23:54:10.40	WTyyyy(CC4B99849B02)	0.178	-0.077	-1.009	13.245	-2.075	586.365	176.11	3.59	-160.26	-4.758	-25.567	22.117	0.01831	0.00302	0.99905	0.03778	22.9	10080.1.3	100
2025-3-13 23:54:10.125	WTyyyy(CC4B99849B02)	0.137	-0.041	-1.038	11.719	-3.845	446.289	175.97	-0.35	146.63	-4.758	-25.567	22.117	0.01831	0.00302	0.99905	0.03778	22.9	10080.1.3	100
